iter	Passed	Remaining
0	0	1482
1	0	1302
2	0	1128
3	1	1077
4	1	984
5	1	931
6	1	912
7	1	875
8	1	838
9	2	840
10	2	819
11	2	807
12	2	789
13	2	776
14	4	1076
15	4	1154
16	5	1188
17	5	1185
18	5	1173
19	6	1303
20	6	1286
21	6	1264
22	7	1245
23	7	1255
24	7	1240
25	8	1267
26	9	1399
27	10	1551
28	11	1520
29	11	1493
30	11	1465
31	11	1439
32	11	1417
33	12	1404
34	12	1386
35	12	1369
36	12	1358
37	12	1337
38	12	1316
39	13	1299
40	13	1287
41	13	1275
42	13	1267
43	14	1259
44	14	1249
45	14	1241
46	14	1235
47	14	1221
48	14	1208
49	15	1194
50	15	1180
51	15	1178
52	15	1170
53	15	1163
54	16	1159
55	16	1154
56	16	1150
57	16	1140
58	16	1130
59	17	1123
60	17	1120
61	17	1116
62	17	1107
63	17	1102
64	18	1098
65	19	1163
66	19	1159
67	19	1155
68	20	1148
69	20	1139
70	20	1131
71	20	1131
72	21	1131
73	21	1126
74	22	1169
75	24	1249
76	26	1325
77	26	1318
78	26	1314
79	26	1305
80	26	1300
81	27	1293
82	27	1285
83	27	1280
84	27	1271
85	27	1267
86	28	1261
87	28	1256
88	28	1256
89	28	1254
90	29	1267
91	29	1271
92	32	1359
93	32	1359
94	32	1356
95	33	1347
96	33	1340
97	33	1335
98	33	1329
99	34	1328
100	34	1339
101	35	1338
102	36	1383
103	36	1378
104	37	1374
105	37	1367
106	37	1362
107	37	1357
108	37	1352
109	38	1345
110	38	1338
111	38	1332
112	38	1327
113	39	1332
114	39	1326
115	39	1319
116	39	1314
117	39	1309
118	40	1305
119	40	1299
120	40	1295
121	42	1335
122	42	1347
123	43	1349
124	45	1400
125	45	1410
126	48	1487
127	50	1521
128	50	1516
129	50	1511
130	50	1505
131	51	1500
132	51	1493
133	51	1488
134	51	1482
135	51	1476
136	52	1471
137	52	1464
138	52	1457
139	52	1452
140	52	1446
141	53	1440
142	53	1435
143	53	1429
144	53	1423
145	53	1419
146	53	1415
147	54	1410
148	54	1405
149	54	1400
150	54	1396
151	55	1392
152	55	1388
153	55	1384
154	55	1380
155	55	1376
156	55	1370
157	56	1367
158	56	1362
159	56	1358
160	56	1355
161	57	1354
162	57	1350
163	57	1347
164	57	1343
165	57	1339
166	58	1335
167	58	1332
168	58	1329
169	58	1326
170	59	1323
171	59	1319
172	59	1316
173	59	1313
174	61	1348
175	63	1382
176	64	1383
177	64	1389
178	65	1390
179	65	1393
180	66	1393
181	66	1395
182	66	1394
183	67	1391
184	67	1388
185	68	1399
186	68	1397
187	68	1395
188	69	1392
189	69	1388
190	69	1385
191	69	1383
192	69	1380
193	70	1377
194	70	1374
195	70	1371
196	70	1368
197	73	1412
198	73	1412
199	74	1416
200	74	1413
201	75	1410
202	75	1407
203	76	1431
204	78	1447
205	78	1449
206	79	1453
207	79	1456
208	80	1462
209	81	1462
210	81	1461
211	81	1460
212	82	1461
213	82	1464
214	83	1467
215	83	1469
216	84	1470
217	86	1495
218	87	1513
219	87	1510
220	88	1507
221	88	1504
222	88	1500
223	88	1497
224	89	1494
225	89	1490
226	89	1487
227	89	1484
228	89	1481
229	93	1526
230	93	1525
231	94	1529
232	94	1528
233	94	1525
234	95	1522
235	95	1518
236	95	1515
237	95	1512
238	95	1509
239	96	1506
240	96	1503
241	96	1499
242	96	1496
243	97	1493
244	97	1490
245	97	1487
246	97	1484
247	97	1481
248	98	1478
249	98	1480
250	99	1479
251	99	1480
252	99	1477
253	99	1474
254	100	1471
255	100	1469
256	100	1467
257	100	1464
258	101	1461
259	101	1458
260	101	1455
261	101	1453
262	102	1450
263	102	1448
264	102	1445
265	102	1442
266	103	1440
267	103	1437
268	103	1435
269	103	1432
270	103	1430
271	104	1428
272	104	1425
273	104	1423
274	104	1420
275	105	1418
276	105	1415
277	105	1413
278	105	1411
279	106	1409
280	106	1406
281	106	1404
282	106	1401
283	108	1413
284	108	1411
285	108	1409
286	108	1407
287	108	1404
288	109	1402
289	109	1399
290	109	1397
291	109	1394
292	110	1392
293	110	1390
294	111	1395
295	111	1393
296	111	1391
297	111	1388
298	112	1386
299	112	1384
300	112	1383
301	112	1381
302	113	1378
303	113	1376
304	113	1374
305	117	1422
306	118	1420
307	118	1421
308	118	1419
309	119	1417
310	119	1414
311	119	1413
312	119	1411
313	120	1409
314	120	1407
315	120	1405
316	120	1402
317	120	1400
318	121	1398
319	121	1396
320	121	1393
321	121	1391
322	122	1389
323	122	1386
324	122	1384
325	122	1383
326	122	1381
327	123	1379
328	124	1383
329	124	1386
330	126	1403
331	130	1444
332	131	1445
333	131	1445
334	132	1445
335	132	1445
336	132	1444
337	133	1443
338	133	1443
339	134	1443
340	134	1444
341	135	1445
342	135	1445
343	136	1446
344	136	1446
345	136	1446
346	137	1445
347	137	1444
348	138	1444
349	138	1444
350	138	1443
351	139	1443
352	139	1445
353	140	1443
354	140	1441
355	140	1439
356	140	1437
357	141	1438
358	141	1436
359	141	1434
360	142	1432
361	142	1430
362	142	1428
363	142	1426
364	143	1424
365	143	1422
366	143	1420
367	143	1418
368	144	1422
369	144	1422
370	145	1421
371	145	1419
372	145	1417
373	146	1415
374	146	1413
375	146	1411
376	147	1420
377	148	1421
378	148	1421
379	149	1420
380	149	1420
381	149	1419
382	150	1419
383	150	1419
384	151	1419
385	151	1420
386	151	1419
387	152	1417
388	152	1415
389	152	1413
390	152	1411
391	153	1409
392	153	1407
393	153	1405
394	153	1404
395	154	1402
396	154	1400
397	154	1398
398	154	1396
399	154	1394
400	155	1392
401	155	1390
402	155	1389
403	155	1387
404	156	1385
405	156	1383
406	157	1387
407	157	1388
408	158	1389
409	158	1391
410	159	1390
411	159	1390
412	160	1390
413	160	1389
414	160	1387
415	160	1386
416	161	1384
417	161	1382
418	161	1380
419	161	1379
420	162	1377
421	162	1375
422	162	1374
423	162	1372
424	162	1370
425	163	1368
426	163	1367
427	163	1365
428	163	1363
429	164	1369
430	165	1367
431	165	1366
432	165	1364
433	165	1362
434	166	1360
435	166	1359
436	166	1357
437	166	1355
438	166	1354
439	167	1352
440	169	1365
441	169	1365
442	170	1365
443	170	1366
444	171	1370
445	172	1370
446	172	1373
447	173	1375
448	174	1378
449	175	1382
450	175	1381
451	175	1380
452	176	1378
453	177	1387
454	178	1387
455	178	1387
456	178	1386
457	179	1388
458	179	1388
459	180	1388
460	180	1387
461	180	1385
462	181	1383
463	181	1384
464	182	1384
465	182	1383
466	182	1384
467	183	1383
468	184	1390
469	185	1390
470	185	1390
471	185	1389
472	186	1391
473	186	1389
474	187	1388
475	187	1387
476	187	1385
477	187	1384
478	188	1382
479	188	1380
480	188	1379
481	189	1385
482	190	1386
483	190	1385
484	191	1385
485	191	1384
486	191	1384
487	192	1384
488	193	1388
489	193	1387
490	193	1386
491	194	1384
492	194	1382
493	194	1381
494	194	1379
495	195	1378
496	195	1377
497	195	1375
498	195	1374
499	196	1373
500	196	1371
501	196	1370
502	196	1368
503	197	1367
504	197	1365
505	197	1363
506	197	1362
507	197	1360
508	198	1359
509	198	1357
510	198	1356
511	198	1354
512	199	1354
513	199	1353
514	199	1351
515	200	1355
516	201	1355
517	201	1355
518	201	1354
519	202	1353
520	202	1353
521	203	1353
522	203	1352
523	203	1352
524	204	1351
525	204	1353
526	205	1354
527	207	1361
528	207	1361
529	207	1361
530	208	1360
531	208	1360
532	209	1360
533	209	1359
534	209	1359
535	210	1358
536	210	1358
537	210	1356
538	211	1355
539	211	1353
540	211	1352
541	211	1351
542	211	1349
543	212	1348
544	212	1346
545	212	1345
546	212	1343
547	213	1342
548	213	1341
549	213	1340
550	213	1338
551	214	1337
552	214	1335
553	214	1334
554	214	1333
555	215	1331
556	215	1330
557	216	1336
558	216	1334
559	217	1333
560	217	1332
561	217	1330
562	217	1329
563	218	1328
564	218	1327
565	218	1326
566	218	1324
567	219	1323
568	219	1322
569	219	1320
570	221	1332
571	222	1333
572	223	1334
573	223	1334
574	224	1335
575	224	1337
576	225	1337
577	225	1337
578	226	1337
