iter	Passed	Remaining
0	1	4347
1	1	2690
2	1	2114
3	1	1863
4	2	1712
5	2	1570
6	2	1473
7	2	1395
8	3	1350
9	3	1306
10	3	1259
11	3	1229
12	3	1197
13	4	1178
14	6	1602
15	6	1565
16	6	1511
17	6	1473
18	6	1436
19	7	1396
20	7	1364
21	7	1334
22	7	1329
23	7	1309
24	8	1289
25	8	1269
26	8	1252
27	8	1267
28	9	1253
29	9	1235
30	9	1221
31	9	1206
32	9	1191
33	10	1176
34	10	1165
35	10	1153
36	10	1143
37	10	1130
38	11	1118
39	12	1203
40	12	1197
41	12	1188
42	14	1366
43	17	1579
44	17	1578
45	19	1680
46	19	1673
47	20	1655
48	20	1654
49	20	1638
50	20	1620
51	21	1604
52	21	1587
53	21	1568
54	21	1553
55	21	1538
56	22	1524
57	22	1509
58	22	1496
59	22	1483
60	22	1470
61	23	1518
62	24	1507
63	24	1495
64	24	1492
65	27	1649
66	27	1641
67	28	1628
68	28	1615
69	28	1601
70	29	1606
71	29	1595
72	29	1607
73	30	1610
74	30	1618
75	31	1615
76	32	1671
77	33	1686
78	33	1675
79	33	1663
80	34	1651
81	34	1652
82	34	1642
83	35	1632
84	35	1622
85	35	1612
86	35	1601
87	35	1590
88	35	1580
89	36	1570
90	36	1560
91	36	1551
92	36	1542
93	36	1534
94	37	1525
95	37	1543
96	38	1535
97	38	1528
98	38	1520
99	38	1512
100	38	1504
101	39	1496
102	39	1495
103	39	1486
104	39	1480
105	40	1472
106	40	1466
107	40	1458
108	40	1451
109	40	1443
110	41	1436
111	41	1430
112	41	1423
113	41	1416
114	41	1410
115	42	1406
116	42	1401
117	42	1396
118	42	1390
119	43	1392
120	43	1388
121	43	1383
122	43	1378
123	43	1371
124	44	1366
125	44	1360
126	47	1452
127	48	1473
128	49	1480
129	49	1479
130	49	1475
131	50	1471
132	50	1466
133	50	1462
134	50	1457
135	51	1453
136	53	1502
137	53	1510
138	54	1509
139	55	1517
140	55	1524
141	55	1519
142	56	1513
143	56	1508
144	56	1503
145	56	1497
146	56	1492
147	57	1486
148	57	1481
149	57	1476
150	57	1471
151	57	1466
152	58	1483
153	61	1540
154	62	1544
155	62	1540
156	62	1534
157	62	1529
158	63	1526
159	63	1535
160	64	1531
161	64	1525
162	64	1525
163	65	1538
164	65	1533
165	66	1528
166	66	1527
167	67	1530
168	67	1534
169	68	1534
170	68	1533
171	68	1529
172	68	1525
173	69	1520
174	69	1516
175	69	1511
176	69	1509
177	70	1505
178	70	1500
179	70	1496
180	70	1492
181	70	1487
182	71	1483
183	71	1480
184	71	1476
185	71	1472
186	72	1468
187	72	1466
188	72	1462
189	72	1459
190	73	1457
191	73	1454
192	73	1450
193	73	1446
194	73	1443
195	74	1438
196	74	1434
197	74	1430
198	74	1426
199	74	1422
200	75	1419
201	75	1415
202	75	1412
203	75	1408
204	75	1404
205	76	1401
206	77	1418
207	79	1451
208	79	1448
209	80	1444
210	80	1440
211	80	1437
212	80	1433
213	81	1435
214	81	1432
215	81	1429
216	81	1425
217	81	1422
218	82	1418
219	82	1415
220	87	1489
221	88	1501
222	88	1498
223	88	1496
224	88	1493
225	89	1490
226	89	1487
227	89	1483
228	89	1480
229	90	1477
230	90	1474
231	91	1489
232	92	1487
233	92	1485
234	92	1485
235	93	1484
236	93	1482
237	93	1484
238	94	1483
239	94	1480
240	94	1478
241	95	1478
242	97	1504
243	98	1523
244	99	1522
245	99	1521
246	100	1528
247	100	1526
248	101	1523
249	101	1520
250	101	1518
251	102	1525
252	102	1523
253	103	1520
254	103	1518
255	103	1515
256	103	1512
257	104	1515
258	104	1514
259	105	1512
260	105	1510
261	105	1509
262	106	1507
263	106	1505
264	106	1504
265	107	1505
266	107	1504
267	107	1502
268	108	1501
269	108	1499
270	108	1498
271	109	1496
272	109	1494
273	109	1492
274	110	1490
275	110	1487
276	110	1485
277	110	1482
278	111	1485
279	111	1483
280	111	1481
281	112	1478
282	112	1476
283	112	1473
284	112	1470
285	112	1467
286	113	1464
287	113	1463
288	113	1460
289	113	1457
290	114	1454
291	114	1452
292	114	1450
293	114	1447
294	117	1471
295	118	1483
296	119	1484
297	119	1482
298	119	1480
299	119	1477
300	120	1475
301	120	1472
302	120	1469
303	120	1466
304	120	1463
305	120	1460
306	121	1457
307	122	1466
308	122	1467
309	123	1467
310	123	1465
311	123	1465
312	124	1464
313	124	1462
314	125	1464
315	125	1464
316	125	1463
317	126	1461
318	126	1459
319	126	1458
320	127	1457
321	127	1455
322	127	1452
323	127	1450
324	128	1447
325	128	1445
326	128	1442
327	128	1439
328	128	1436
329	128	1434
330	129	1434
331	129	1431
332	129	1429
333	130	1426
334	130	1424
335	130	1421
336	130	1419
337	131	1422
338	132	1431
339	133	1435
340	134	1439
341	134	1439
342	134	1437
343	135	1435
344	135	1435
345	135	1434
346	141	1489
347	142	1498
348	143	1496
349	143	1494
350	143	1494
351	144	1494
352	144	1492
353	144	1490
354	145	1489
355	145	1487
356	145	1486
357	146	1485
358	146	1483
359	146	1482
360	146	1481
361	147	1480
362	147	1478
363	147	1476
364	148	1474
365	148	1472
366	150	1493
367	151	1491
368	151	1488
369	151	1486
370	151	1484
371	151	1481
372	152	1479
373	152	1476
374	152	1474
375	156	1505
376	156	1505
377	156	1503
378	158	1512
379	158	1511
380	158	1509
381	159	1507
382	159	1505
383	160	1510
384	161	1515
385	163	1529
386	165	1543
387	165	1542
388	166	1541
389	166	1541
390	166	1541
391	167	1538
392	167	1538
393	167	1535
394	168	1536
395	168	1533
396	168	1533
397	169	1531
398	169	1528
399	169	1526
400	169	1523
401	169	1521
402	170	1519
403	170	1516
404	172	1528
405	172	1528
406	173	1530
407	173	1529
408	174	1528
409	174	1527
410	175	1529
411	177	1542
412	177	1541
413	177	1539
414	178	1539
415	178	1538
416	180	1548
417	180	1548
418	182	1556
419	182	1556
420	183	1556
421	183	1555
422	183	1554
423	184	1553
424	184	1552
425	185	1552
426	185	1551
427	185	1550
428	186	1549
429	187	1554
430	187	1555
431	188	1554
432	188	1553
433	189	1552
434	189	1551
435	189	1550
436	191	1563
437	192	1564
438	192	1565
439	193	1565
440	193	1562
441	193	1560
442	194	1557
443	194	1555
444	195	1562
445	195	1561
446	196	1559
447	196	1557
448	196	1554
449	196	1552
450	197	1550
451	197	1548
452	197	1546
453	197	1543
454	197	1541
455	198	1539
456	198	1536
457	198	1534
458	198	1532
459	198	1529
460	198	1527
461	199	1525
462	199	1523
463	199	1521
464	199	1518
465	203	1543
466	203	1542
467	204	1540
468	205	1544
469	205	1543
470	205	1542
471	206	1541
472	209	1561
473	210	1568
474	211	1567
475	211	1567
476	212	1566
477	212	1566
478	213	1572
479	214	1575
480	215	1577
481	218	1592
482	219	1594
483	219	1593
484	220	1595
485	220	1593
486	220	1591
487	221	1591
488	221	1589
489	221	1587
490	221	1585
491	222	1583
